Orthogroup	Acyrthosiphon_pisum	Aedes_aegypti	Anopheles_gambiae	Apis_mellifera	Bombus_terrestris	Bombyx_mori	Ceratina_calcarata	Drosophila_melanogaster	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nasonia_vitripennis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria	Polistes_dominula	Solenopsis_invicta	Tribolium_castaneum	Vespa_mandarinia	Total
OG0000140	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	63
OG0000141	3	5	3	3	3	3	4	3	3	3	3	3	3	0	3	3	3	3	3	3	3	63
OG0000142	2	8	4	1	2	17	1	6	2	2	1	2	1	2	1	1	1	1	5	2	1	63
OG0000143	2	3	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	2	2	4	3	63
OG0000144	1	2	0	0	0	0	11	0	0	0	0	0	0	10	0	15	6	6	12	0	0	63
OG0000145	0	1	1	1	4	0	17	1	4	2	3	3	1	3	1	3	3	2	7	3	3	63
OG0000146	0	0	0	3	2	1	5	0	3	2	4	10	4	6	2	5	5	4	4	0	3	63
OG0000147	2	3	1	3	3	3	3	3	3	3	3	4	4	3	3	3	3	3	3	3	3	62
OG0000148	3	2	3	3	3	2	4	2	3	2	4	4	3	2	3	3	3	3	3	4	3	62
OG0000149	0	0	0	1	1	0	1	0	1	1	1	1	1	4	1	1	1	7	2	0	38	62
OG0000150	3	1	1	3	3	2	3	2	3	3	3	4	3	3	3	3	3	3	3	6	3	61
OG0000151	19	3	2	0	0	0	0	0	0	0	0	0	0	15	0	3	2	0	16	1	0	61
OG0000152	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1	1	52	0	1	61
OG0000153	3	8	7	2	2	4	2	3	2	2	2	2	3	3	2	2	2	2	2	3	2	60
OG0000154	0	2	1	5	3	7	2	1	2	1	4	3	15	2	6	2	2	0	2	0	0	60
OG0000155	0	1	1	3	3	0	4	1	4	3	4	4	4	4	4	3	4	4	3	2	4	60
OG0000156	0	0	0	0	0	7	0	0	3	0	0	4	14	16	3	5	4	1	2	0	1	60
OG0000157	7	3	10	1	5	1	26	0	0	1	1	1	0	0	0	1	1	0	0	1	0	59
OG0000158	1	5	3	2	3	4	2	5	2	3	2	3	2	3	3	1	2	3	4	4	2	59
OG0000159	3	2	2	3	3	2	4	2	3	3	3	3	3	1	4	3	3	3	3	3	3	59
OG0000160	3	1	1	3	3	2	3	5	3	3	3	4	3	3	3	3	3	2	3	2	3	59
OG0000161	2	5	3	2	1	4	2	10	1	2	2	2	3	2	3	2	2	2	3	3	3	59
OG0000162	2	2	2	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	3	3	58
OG0000163	1	2	2	2	4	1	3	1	5	4	4	5	5	1	3	4	4	2	2	1	2	58
OG0000164	1	1	1	2	3	4	6	2	4	3	2	1	6	3	4	4	2	1	2	5	1	58
OG0000165	21	0	0	2	1	1	1	0	1	1	1	1	1	1	1	1	1	2	18	2	1	58
OG0000166	2	12	3	1	1	3	1	11	1	1	1	1	1	8	1	1	1	1	1	5	1	58
OG0000167	1	2	2	3	3	2	3	1	3	4	3	3	3	2	3	6	3	3	3	2	3	58
OG0000168	1	9	9	1	1	8	2	4	1	1	1	1	1	5	1	1	1	2	4	3	1	58
OG0000169	0	5	4	2	2	0	2	15	2	2	2	2	2	1	2	3	4	3	3	1	1	58
OG0000170	0	3	2	1	3	0	2	3	2	2	3	1	3	7	3	4	4	0	12	2	1	58
OG0000171	2	3	1	0	3	3	2	4	2	4	2	9	2	2	3	4	4	1	2	2	2	57
OG0000172	1	2	2	2	3	2	3	4	3	3	3	3	2	3	3	3	3	3	3	3	3	57
OG0000173	3	2	1	3	3	2	3	3	3	3	3	4	3	1	3	3	3	3	3	2	3	57
OG0000174	34	1	0	0	0	1	1	0	4	0	3	0	0	0	0	5	0	0	3	4	0	56
OG0000175	3	7	5	1	1	4	1	8	1	2	1	1	1	4	1	1	1	1	2	9	1	56
OG0000176	2	10	12	1	1	3	3	3	2	2	2	1	1	3	2	1	1	1	1	3	1	56
OG0000177	3	1	1	2	2	6	2	4	2	2	2	2	2	3	2	2	2	2	2	9	3	56
OG0000178	3	5	4	2	2	2	2	4	0	2	2	2	2	1	2	3	3	2	1	10	2	56
OG0000179	11	3	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	3	2	55
OG0000180	3	2	1	3	3	3	3	2	2	3	3	3	2	3	2	3	3	3	3	2	3	55
OG0000181	1	1	3	1	2	3	1	1	1	2	2	2	1	5	2	1	1	3	15	5	2	55
OG0000182	6	10	4	1	2	6	1	2	2	1	1	2	1	3	1	1	1	2	3	4	1	55
OG0000183	18	1	0	0	0	5	0	0	3	0	1	6	1	3	0	6	4	1	4	2	0	55
OG0000184	0	20	14	0	0	1	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	55
OG0000185	0	0	0	2	2	0	3	0	1	2	2	2	2	8	2	2	1	6	5	0	15	55
OG0000186	0	0	0	1	2	0	1	0	1	1	2	1	3	9	1	3	3	3	13	9	2	55
OG0000187	1	1	1	3	3	1	3	1	3	4	3	3	4	1	3	5	3	3	3	2	3	54
OG0000188	3	3	3	1	3	5	4	2	1	3	3	2	2	3	3	2	2	2	2	2	3	54
OG0000189	3	6	6	2	2	4	3	4	2	1	2	2	2	2	2	2	2	1	2	3	1	54
OG0000190	2	3	3	3	3	2	2	3	3	3	3	3	3	3	1	2	2	2	2	3	3	54
OG0000191	1	1	1	3	2	2	4	1	3	3	3	3	3	3	3	3	3	3	3	3	3	54
OG0000192	1	4	3	2	2	2	4	4	2	2	3	2	3	8	2	2	2	2	1	1	2	54
OG0000193	2	7	5	1	1	6	1	4	1	1	1	1	1	1	1	1	1	2	1	13	2	54
OG0000194	1	1	3	1	1	0	1	3	1	2	1	1	2	7	2	1	1	4	3	2	16	54
OG0000195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	19	17	0	0	0	54
OG0000196	8	2	3	1	5	1	11	2	1	1	1	3	1	4	1	1	1	1	2	2	1	53
OG0000197	11	1	1	2	2	3	2	2	2	2	2	2	2	2	2	2	1	2	2	6	2	53
OG0000198	2	2	2	2	2	2	3	2	3	3	3	4	4	1	2	4	3	2	2	3	2	53
OG0000199	3	3	2	3	3	0	2	3	2	3	3	3	3	3	3	1	1	2	3	5	2	53
OG0000200	4	2	1	2	4	2	2	1	2	2	3	3	3	2	3	3	3	2	2	5	2	53
OG0000201	6	1	2	1	2	3	2	2	2	2	2	2	2	2	2	1	2	2	11	2	2	53
OG0000202	2	3	3	3	1	2	6	4	1	1	1	1	2	6	1	1	1	1	5	7	1	53
OG0000203	6	2	1	2	3	1	3	7	2	2	2	2	3	3	3	2	2	2	2	1	2	53
OG0000204	0	4	2	2	1	0	3	1	3	2	2	2	6	5	2	4	3	2	3	3	3	53
OG0000205	0	1	1	2	2	0	2	2	2	1	2	2	2	15	2	2	2	2	2	7	2	53
OG0000206	3	3	4	2	2	4	2	5	2	2	2	2	2	3	2	2	2	2	2	2	2	52
OG0000207	1	4	5	5	8	0	4	2	1	1	1	7	1	1	3	1	0	1	4	1	1	52
OG0000208	1	8	6	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	2	1	2	52
OG0000209	1	1	0	0	4	3	5	0	0	0	4	6	1	6	2	3	4	3	5	3	1	52
OG0000210	3	2	2	2	2	2	2	2	2	2	3	3	2	4	5	2	2	2	2	3	2	51
OG0000211	1	8	2	1	3	2	3	2	3	3	1	3	5	1	2	1	1	2	4	1	2	51
OG0000212	5	2	2	2	2	5	2	3	2	2	2	2	2	3	2	2	2	2	2	2	2	50
OG0000213	7	2	4	1	1	1	1	5	1	1	1	1	1	0	1	1	1	0	1	18	1	50
OG0000214	2	4	4	1	3	5	2	0	2	3	1	3	2	2	2	1	2	1	4	5	1	50
OG0000215	2	1	1	2	2	1	2	3	2	2	2	2	4	5	2	2	2	2	2	7	2	50
OG0000216	1	6	5	2	2	5	2	1	2	2	2	2	2	1	2	2	2	3	2	2	2	50
OG0000217	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	50
OG0000218	0	11	8	0	0	7	0	2	0	0	0	0	0	0	0	0	0	1	1	19	1	50
OG0000219	0	0	0	19	8	0	4	0	0	3	0	0	8	0	3	1	2	0	2	0	0	50
OG0000220	4	3	3	2	2	3	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	49
OG0000221	3	2	3	2	2	2	2	4	2	2	2	2	1	2	2	2	3	4	3	2	2	49
OG0000222	1	1	1	2	2	1	8	2	2	2	7	3	3	1	2	3	3	1	3	0	1	49
OG0000223	4	2	4	2	2	2	2	3	2	3	2	2	2	2	5	2	2	1	2	1	2	49
OG0000224	2	2	2	2	2	2	2	7	2	2	2	2	2	2	3	2	2	2	2	3	2	49
OG0000225	2	6	5	2	2	1	2	3	2	3	2	2	1	2	2	2	2	2	2	2	2	49
OG0000226	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49
OG0000227	32	0	0	0	0	4	0	0	5	1	1	0	1	1	0	0	0	0	0	1	3	49
OG0000228	0	0	0	1	1	0	4	0	3	3	1	1	5	2	1	6	5	2	8	2	4	49
OG0000229	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	49
OG0000230	2	3	3	4	3	2	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	48
OG0000231	4	1	1	3	3	1	3	2	2	2	3	3	1	1	2	3	3	2	5	1	2	48
OG0000232	1	6	6	2	2	5	2	2	2	2	2	1	2	3	2	1	1	2	1	2	1	48
OG0000233	2	3	4	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	48
OG0000234	1	0	0	2	2	1	2	1	3	6	9	4	2	1	3	3	3	2	1	1	1	48
OG0000235	4	4	4	1	2	4	2	2	1	2	2	2	1	2	1	1	1	1	1	9	1	48
OG0000236	2	0	0	0	0	3	1	0	1	4	0	1	0	9	0	1	2	1	22	0	1	48
OG0000237	1	1	1	1	1	1	2	1	2	1	1	1	21	1	1	1	1	5	1	1	1	47
OG0000238	6	1	1	2	2	1	2	1	2	2	2	2	2	4	2	2	2	1	2	7	1	47
OG0000239	4	2	2	2	2	4	2	5	1	2	2	2	2	1	2	2	2	2	3	1	2	47
OG0000240	2	3	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	5	2	47
OG0000241	14	7	2	1	1	1	2	2	1	1	1	1	1	3	1	1	1	1	2	1	2	47
OG0000242	3	2	2	2	4	2	2	3	2	2	3	2	2	2	2	2	2	2	2	2	2	47
OG0000243	2	2	2	2	2	2	2	2	3	2	3	2	2	2	3	2	2	2	4	2	2	47
OG0000244	3	2	3	2	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	47
OG0000245	4	1	1	2	3	2	3	1	3	2	2	3	2	2	2	3	2	2	3	2	2	47
OG0000246	0	9	5	1	6	2	2	5	0	1	2	1	1	0	1	1	1	2	1	5	1	47
OG0000247	0	6	3	2	2	1	2	3	2	2	2	2	2	2	2	2	2	1	1	6	2	47
OG0000248	0	0	0	1	1	0	0	0	1	1	0	1	9	21	1	0	0	5	1	0	5	47
OG0000249	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
OG0000250	3	2	2	2	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	46
OG0000251	4	1	6	2	10	1	2	1	1	1	1	1	1	1	2	1	1	3	2	1	3	46
OG0000252	2	3	3	2	2	5	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	46
OG0000253	3	3	3	2	2	4	2	2	2	2	2	2	2	3	2	1	1	2	2	2	2	46
OG0000254	5	1	2	1	5	1	4	0	2	1	2	2	1	2	2	1	1	1	8	3	1	46
OG0000255	2	1	1	3	3	2	3	4	2	2	1	3	3	1	1	3	3	2	2	3	1	46
OG0000256	1	3	2	2	3	2	3	1	2	2	2	3	3	1	3	2	2	2	2	2	3	46
OG0000257	3	1	3	2	3	1	4	1	3	2	2	2	3	1	2	2	2	3	2	1	3	46
OG0000258	0	3	3	2	2	3	3	0	2	2	2	2	2	3	2	2	2	2	2	5	2	46
OG0000259	0	3	2	3	2	2	2	3	2	2	2	2	2	1	2	2	2	2	4	4	2	46
OG0000260	0	1	2	1	3	3	1	0	2	3	3	6	6	1	5	1	1	1	4	0	2	46
