Dbxref=GeneID:114872164,Genbank:XP_029036162.1
Dbxref=GeneID:114873581,Genbank:XP_029038301.1
Dbxref=GeneID:114883102,Genbank:XP_029056369.1
Dbxref=GeneID:114875490,Genbank:XP_029042959.1
Dbxref=GeneID:114875490,Genbank:XP_029042108.1
Dbxref=GeneID:114877331,Genbank:XP_029045818.1
Dbxref=GeneID:114877331,Genbank:XP_029045649.1
Dbxref=GeneID:114877331,Genbank:XP_029045733.1
Dbxref=GeneID:114880255,Genbank:XP_029051961.1
Dbxref=GeneID:114880056,Genbank:XP_029051531.1
Dbxref=GeneID:114879865,Genbank:XP_029051181.1
Dbxref=GeneID:114879865,Genbank:XP_029051092.1
Dbxref=GeneID:114880126,Genbank:XP_029051829.1
Dbxref=GeneID:114880126,Genbank:XP_029051737.1
Dbxref=GeneID:114880126,Genbank:XP_029051650.1
Dbxref=GeneID:114880428,Genbank:XP_029052294.1
Dbxref=GeneID:114880428,Genbank:XP_029052379.1
Dbxref=GeneID:114879660,Genbank:XP_029050759.1
Dbxref=GeneID:114879660,Genbank:XP_029050674.1
Dbxref=GeneID:114879961,Genbank:XP_029051399.1
Dbxref=GeneID:114879961,Genbank:XP_029051313.1
Dbxref=GeneID:114880325,Genbank:XP_029052091.1
Dbxref=GeneID:114880325,Genbank:XP_029052175.1
Dbxref=GeneID:114880528,Genbank:XP_029052585.1
Dbxref=GeneID:114880528,Genbank:XP_029052673.1
Dbxref=GeneID:114880528,Genbank:XP_029052757.1
Dbxref=GeneID:114880528,Genbank:XP_029052500.1
Dbxref=GeneID:114879760,Genbank:XP_029050876.1
Dbxref=GeneID:114879760,Genbank:XP_029050960.1
Dbxref=GeneID:114878052,Genbank:XP_029047679.1
Dbxref=GeneID:114874398,Genbank:XP_029039503.1
Dbxref=GeneID:114882803,Genbank:XP_029055704.1
Dbxref=GeneID:114882803,Genbank:XP_029055694.1
Dbxref=GeneID:114882803,Genbank:XP_029055684.1
Dbxref=GeneID:114882803,Genbank:XP_029055709.1
Dbxref=GeneID:114882822,Genbank:XP_029055720.1
Dbxref=GeneID:114882822,Genbank:XP_029055728.1
Dbxref=GeneID:114882829,Genbank:XP_029055760.1
Dbxref=GeneID:114882829,Genbank:XP_029055750.1
Dbxref=GeneID:114882829,Genbank:XP_029055742.1
Dbxref=GeneID:114883109,Genbank:XP_029056382.1
Dbxref=GeneID:114882841,Genbank:XP_029055774.1
Dbxref=GeneID:114877276,Genbank:XP_029045512.1
Dbxref=GeneID:114877174,Genbank:XP_029045378.1
Dbxref=GeneID:114877174,Genbank:XP_029045289.1
Dbxref=GeneID:114877115,Genbank:XP_029045165.1
Dbxref=GeneID:114876318,Genbank:XP_029043527.1
Dbxref=GeneID:114876711,Genbank:XP_029044359.1
Dbxref=GeneID:114881976,Genbank:XP_029054715.1
Dbxref=GeneID:114881976,Genbank:XP_029054789.1
Dbxref=GeneID:114881976,Genbank:XP_029054749.1
Dbxref=GeneID:114882299,Genbank:XP_029055037.1
Dbxref=GeneID:114882176,Genbank:XP_029054944.1
Dbxref=GeneID:114882176,Genbank:XP_029054912.1
Dbxref=GeneID:114882176,Genbank:XP_029054984.1
Dbxref=GeneID:114881687,Genbank:XP_029054388.1
Dbxref=GeneID:114881687,Genbank:XP_029054656.1
Dbxref=GeneID:114881687,Genbank:XP_029054620.1
Dbxref=GeneID:114881687,Genbank:XP_029054533.1
Dbxref=GeneID:114881687,Genbank:XP_029054488.1
