GeneID,minPval,minFDR
LOC114871389,0.0132587303285,0.24485520351705803
LOC114871390,0.244740940788,0.984420564456386
LOC114871391,0.167435868263,0.8097140305751787
LOC114871393,1,1
LOC114871395,0.377028491078,1
LOC114871397,1,1
LOC114871399,0.474768445157,1
LOC114871400,1,1
LOC114871402,1,1
LOC114871404,0.571320173565,1
LOC114871405,1,1
LOC114871410,1,1
LOC114871412,0.151177047492,0.6921219350380844
LOC114871415,0.517337934548,1
LOC114871418,0.0555301959912,0.6980632613445218
LOC114871419,0.00210511914073,0.11400428002297631
LOC114871420,1,1
LOC114871422,0.43080740112,1
LOC114871423,0.328213988567,1
LOC114871424,0.165720815885,0.950857219214203
LOC114871427,0.510299063721,1
LOC114871428,1,1
LOC114871435,0.121548301163,0.7726093105926573
LOC114871438,0.0256204251172,0.3532635123643846
LOC114871439,1,1
LOC114871441,0.933675297099,1
LOC114871450,1,1
LOC114871454,0.490016385569,1
LOC114871455,0.678302137884,1
LOC114871456,0.417763839502,1
LOC114871457,0.349331919282,1
LOC114871460,0.938653934481,1
LOC114871461,1,1
LOC114871462,1,1
LOC114871463,1,1
LOC114871464,1,1
LOC114871468,1,1
LOC114871471,1,1
LOC114871476,1,1
LOC114871477,1,1
LOC114871479,0.0184621602989,0.24923916403515
LOC114871483,0.0161300236218,0.3158679408373357
LOC114871484,1,1
LOC114871490,0.715683807925,1
LOC114871497,0.21160572893,1
LOC114871498,1,1
LOC114871501,1,1
LOC114871505,1,1
LOC114871508,0.520873738536,1
LOC114871510,0.00444442498029,0.09174096956470058
LOC114871522,0.242423703698,0.8375738962765901
LOC114871524,0.495757404492,1
LOC114871525,0.0991633204066,0.7503772269426445
LOC114871526,1,1
LOC114871527,1,1
LOC114871528,0.193237913994,1
LOC114871529,0.00268268664753,0.09981829901017876
LOC114871537,0.942785191269,1
LOC114871538,1,1
LOC114871541,0.976917956085,1
LOC114871542,0.389519168408,1
LOC114871543,1.56683255184e-4,0.01603866775792582
LOC114871544,0.585320933787,1
LOC114871547,0.234096312412,1
LOC114871548,1,1
LOC114871549,1,1
LOC114871550,0.595549354064,1
LOC114871553,0.0519429055921,0.552775450442066
LOC114871559,1,1
LOC114871561,0.304036391036,1
LOC114871563,0.174027621165,0.7332505257622867
LOC114871565,2.35982369434e-6,0.00222733644978634
LOC114871586,1,1
LOC114871591,0.389162790805,1
LOC114871593,1,1
LOC114871594,0.725378482386,1
LOC114871603,1,1
LOC114871608,0.0261554289196,0.2772409631191454
LOC114871610,0.129759127631,1
LOC114871611,0.0022796691416,0.1185966458153638
LOC114871613,0.184668076073,0.8556683513660795
LOC114871618,1,1
LOC114871632,0.0800217799111,0.7412359575410525
LOC114871637,0.00285637399138,0.1020296789720936
LOC114871642,1,1
LOC114871644,0.853774638964,1
