"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC114880977",165.304601558776,0.0460599696628586,0.122117461047436,0.377177590066068,0.706041633074042,0.951043233339298
"LOC114880980",553.950808129533,-0.334877695902535,0.333822362815026,-1.00316136126594,0.315783012411952,0.78457059976661
"LOC114880967",186.558924373815,-0.0510186265014325,0.114978836901779,-0.443721887228823,0.657243669184262,0.936006688619106
"LOC114880979",415.331154641386,0.0805858787654738,0.0958004504052202,0.841184758783583,0.400244437526581,0.84085961408419
"LOC114880970",335.06058530344,0.0300583341869263,0.0961355617065949,0.312666131588892,0.754534329386523,0.964465616426017
"LOC114880971",468.291557441687,0.0224324950588112,0.0852127913329123,0.263252672608402,0.792355835183531,0.968293348950857
"LOC114880973",8.59019502780799,-0.144635886744635,0.49511439983427,-0.292126197083035,0.770190137474774,0.964786668423981
"LOC114881119",194.123976954341,0.0594159597392118,0.112407648133584,0.528575775098529,0.59709976884092,0.918284710300065
"LOC114881118",197.817985585945,0.0792116675453974,0.145313808421301,0.54510764259748,0.585679486660078,0.915630074260478
"LOC114881117",184.399878273527,-0.0542294150350289,0.111902424792773,-0.484613404360575,0.627950603484086,0.926501052625934
"LOC114881120",3.35985508369121,-1.26175697966336,0.817050016042261,-1.54428364835635,0.122519632088348,NA
"LOC114881121",37.8642243802326,-0.0224047698280227,0.241337967488033,-0.0928356613806885,0.92603411964966,0.990553770230398
"LOC114880821",769.794084027081,-0.144529991212967,0.0978792074526287,-1.47661587148543,0.139778634804809,0.620836999302351
"LOC114880820",23.2346582122194,-0.0434725435469621,0.279458265812149,-0.155560056241758,0.876379812059842,0.981118110649996
"LOC114880819",382.093629213355,0.0748127199028094,0.110617066505104,0.676321676812481,0.498836432936798,0.880448309868893
"LOC114880818",427.197195542323,-0.0492279077861946,0.09199675630039,-0.535104820711879,0.592577376644747,0.918284710300065
"LOC114881756",745.971175281983,-0.14887483697365,0.304882313237441,-0.48830263518011,0.625335495218829,0.926383930523593
"LOC114880415",738.917179534758,0.00834251220697386,0.146439734960786,0.0569689108574788,0.954569960447637,0.995008701429094
"LOC114880409",127.626481412667,-0.298634686084971,0.148156599860993,-2.01566913904047,0.0438345847423236,0.420292915554226
"LOC114880411",5.19760260680769,-0.290316583200706,0.639311746511187,-0.45410800722027,0.649751090348409,NA
"LOC114880412",1.31134380390722,-0.779931425801319,1.44040372180048,-0.541467238661684,0.588185572935546,NA
"LOC114880413",592.564117749558,0.00897351196647114,0.290508477111631,0.0308889849125572,0.97535807449925,0.997273251795227
"LOC114881482",0.229549597700074,1.02940628116508,2.92682616380531,0.351714185794587,0.725052620773369,NA
"LOC114880414",4.34057128089638,-0.0404876234166657,0.686686591854152,-0.0589608474913473,0.952983293007072,NA
"LOC114881423",248.517457088913,-0.108748051969942,0.12777028367317,-0.85112162893928,0.394701791757066,0.837258498399286
"LOC114881422",434.284163526023,0.0596958001775435,0.0966086480955515,0.61791362734422,0.536632275563997,0.895866044208348
"LOC114880647",58.1994557153413,0.1907940006024,0.204195939494017,0.934367260559507,0.350114479829495,0.811543769213794
"LOC114882253",17.3960770807943,-0.00150799405559585,0.376468674927381,-0.00400562956768377,0.996803978558382,0.999348879602083
"LOC114880648",1.52098003458292,0.105591450567922,1.1589076284844,0.0911129135511969,0.927402871794117,NA
"LOC114880645",18.1034213965053,-1.01290791864216,0.355312123492312,-2.85075529843012,0.00436155209714213,0.153227165258176
